,comment,rating,blind,is_deleted,menu_items,level,menu_summary,like_count,is_mine_review,phone,rating_quantity,rating_taste,is_mine_like,rating_delivery,clean,time,review_images,nickname,id,is_menu_visible,owner_reply,owner_reply.comment,owner_reply.created_at,owner_reply.id
177,맛있게 잘먹었습니다,4,False,False,,1,순살소이바베큐/1,0,False,fa**,3,5,False,5.0,True,2019-11-06 18:31:03,[],fa**,18820709,True,,"고객님 고맙습니다.
계속해서 맛있게 따뜻하게 배달할 수 있게 노력할게요~",2019-11-07 12:59:56,5273413.0
178,언제 먹어도 맛있는 곳!,5,False,False,,2,뿌링클/1,0,False,wk**,5,5,False,5.0,True,2019-11-01 15:29:48,[],wk**,18640054,True,,"고객님 고맙습니다 
날씨가 추워지고 있습니다 치킨이 식지 않게 최선을 다해서 언제나 맛있도록 하겠습니다 ",2019-11-01 21:29:45,5198612.0
179,"결론 부터 말씀 드리자면 맛있었습니다 간이나 염도 같은경우에는 다른치킨에 비해 약합니다만 그렇다해서 싱거워서 뭘 소스에 찍어 먹어야 겠다 그정도 까진 아니고 적당하다고 생각합니다. 맵지는 않고 매콤, 치킨의 겉은 해바라기 후라이드 처럼 크리스피한 식감이 아닌 맛초킹의 식감이랑 흡사합니다. 이 메뉴의 매력이 발사믹식초로 느끼함을 덜하고 마치 중국음식중에 깐풍기나 탕수육을 간장식초에 버무린 음식이 있습니다. 그 음식 생각하면 맛이 이해하기가 쉬울 것 같습니다. 선입견때문에 못드시는분들이 많을것 같은데 전 개인적으로 만족했던 메뉴 입니다",5,False,False,,4,블랙올리브/1,0,False,sp**,5,5,False,5.0,True,2019-10-25 21:07:36,"[{'full': 'https://rev-static.yogiyo.co.kr/7b766cf07dfa53dacba425d9a14fb8f5.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/7b766cf07dfa53dacba425d9a14fb8f5_tn.jpg'}, {'full': 'https://rev-static.yogiyo.co.kr/61936f4582e8259069b71c4fe3f1170e.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/61936f4582e8259069b71c4fe3f1170e_tn.jpg'}]",sp**,18408644,True,,"고객님 고맙습니다 
오늘 고객님께 블랙올리브치킨이 처음 나갔습니다 저희는 리뷰가 절실한 상황이라 평을 부탁드렸는데 너무도 상세히 적어주셔서 감사합니다 
상당히 큰 도움이 되었습니다 
치킨튀김옷은 맛초킹보다는 조금더 바싹거리는 강정을 만들때 사용하는것과 비슷한걸 사용합니다
좀 짜게 느끼실까, 발사믹 소스때문에 너무 시큼할까 
걱정했는데 간도 적절하고 시큼함은 느끼함을 잡아주는 정도라니 다행입니다
정성을 다해 조리하겠습니다. ",2019-10-26 00:56:25,5101480.0
180,여전히 좋았습니다👍,5,False,False,,2,순살뿌링클HOT/1,0,False,ls**,5,5,False,5.0,True,2019-10-15 14:57:21,[],ls**,17903748,True,,"고객님 고맙습니다 
초심 잃지않고 한결같이 유지해 나가겠습니다 ",2019-10-15 21:01:36,4959211.0
181,뿌링클 맛집이군요 다른메뉴도 시켜먹어야겠어요!’,5,False,False,,1,뿌링클＋치즈볼/1,0,False,   손,5,5,False,5.0,True,2019-10-03 17:36:58,[],손님,17387849,True,,"고객님 고맙습니다 
맛집이라는 평가는 처음인데 아주 감동적입니다
프랜차이즈 맛집은 의미가 남다르네요
진정 맛집이 될 수 있도록 더 노력 하겠습니다 ~",2019-10-03 21:29:25,4781824.0
182,배달도 빠르고 맛도 있어요 :),5,False,False,,2,뿌링클＋뿌링감자/1,0,False,ch**,5,5,False,5.0,True,2019-09-28 18:27:40,"[{'full': 'https://rev-static.yogiyo.co.kr/fe86c1c8a08c3e6846957d8a6733756a.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/fe86c1c8a08c3e6846957d8a6733756a_tn.jpg'}, {'full': 'https://rev-static.yogiyo.co.kr/9e80b6757c1ce6aabe8270e7d4f64a39.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/9e80b6757c1ce6aabe8270e7d4f64a39_tn.jpg'}]",ch**,17201260,True,,"고객님 고맙습니다 
역대급 사진이 나왔네요
제가 봐도 먹고 싶네요~
사진도 이리 정성껏 찍어 주시는데
치킨은 더 정성껏 만들지 않을 수가 없네요
다시한번 감사드립니다
",2019-09-28 20:53:23,4717217.0
183,"배달이 빨라서 놀랐고 맛있어서 놀랐습니다^^
뜨끈할때 먹는다고 사진도 못 찍었네요.
잘 먹었습니다~~ 
사업 번창하세요~ ~",5,False,False,,1,순살뿌링클/1(추가메뉴(뿌링치즈볼)),0,False,   손,5,5,False,5.0,True,2019-09-18 19:04:32,[],손님,16802287,True,,"사진이 없어도 괜찮습니다^^
맛있게 드시는게 더 중요하니까요~~
고맙습니다.",2019-09-20 08:04:19,4603237.0
184,"바삭클인데 눅눅하게 왔음
다신 주문하고 싶지 않네요",2,False,False,,1,"바삭클/1(추가메뉴(뿌링감자,뿌링치즈볼))",0,False,   손,1,2,False,4.0,True,2019-09-10 15:28:56,[],손님,16547222,True,,"고객님 저희 치킨이 불만이었다니
너무도 죄송합니다 
변명처럼 들릴 수 있지만 곰곰히 생각해보건데
시원한 콜라와 치킨무가 감자 치즈볼박스에 닿지 않도록 하기위해 치킨박스위에 2단으로 쌓으면서 김이 빠져나가는 구멍을 막은게 원인이 아닌가 싶습니다
따뜻함을 최대한 유지하려 하다 역효과가 난 것 같습니다  어쨌든 저희의 불찰이고 사과드리겠습니다 
앞으로는  이런일이 재발하지 않도록 더 섬세하게 신경 쓰겠습니다 
너그러이 양해를 구합니다
다시한번 주문의 기회가 주어진다면 정성을다해 준비하겠습니다 
감사합니다 ",2019-09-11 23:59:59,4511065.0
185,맛은 괜찮았는데~ 다른곳보다 양이 많이 작네요.,4,False,False,,2,뿌링클/1(추가메뉴(빨간소떡)),0,False,bi**,3,5,False,5.0,True,2019-08-31 19:47:43,[],bi**,16044470,True,,"안녕하세요 고객님 
맛있게 드셨다니 다행인데 양이 적었다니 안타깝네요. 원래 10호닭의 중량범위가 951g ~1050g이다보니 양이 많을때와 적을때의 차이가 100g정도 납니다. 저희도  이번 입고분은 생각보다 작아 신경이 쓰였습니다. 하지만 어떨때는 치킨박스가 닫기지 않을 정도로 양이 많을때도 있어 본사에 컴플레인도 어려운 점이 있습니다.
너그러이 이해 부탁드리고 양이 좀 아쉬웠던점은 다음에  메모란에 적어주시면 써비스로 보답하겠습니다. 감사합니다.",2019-09-01 15:50:54,4339097.0
186,"짱짱 맛있어요 
배달 빨라요
친절해요",5,False,False,,3,해바라기후라이드치킨/1,0,False,kt**,5,5,False,5.0,True,2019-08-28 19:58:17,"[{'full': 'https://rev-static.yogiyo.co.kr/8d136b927814d838f3116c09a725b85f.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/8d136b927814d838f3116c09a725b85f_tn.jpg'}]",kt**,15897489,True,,"칭찬리뷰 감사합니다^^
더욱 열심히 하겠습니다~",2019-08-31 16:40:28,4326558.0
